auc_macro,mcc_macro,f1_macro,subset_acc,hamming,fold
0.9691938030984346,0.7984911116027722,0.8578231747874605,0.5517241379310345,0.07327586206896551,0
0.9679676610982557,0.7952971218492682,0.8562478467549223,0.46551724137931033,0.08405172413793104,1
0.95913586261625,0.7068377948407891,0.7469795563809648,0.603448275862069,0.08405172413793104,2
0.9427606084377103,0.6060157275030731,0.6952461665905062,0.4,0.1125,3
0.9465195491480818,0.6455660411100802,0.7167147881770524,0.5178571428571429,0.08928571428571429,4
0.9632493688411897,0.7749599850432114,0.8316918448832408,0.5689655172413793,0.07327586206896551,5
0.9602069619006022,0.7000321615241517,0.7634980573132626,0.4915254237288136,0.09110169491525423,6
0.9705399982316568,0.851424972261818,0.8896758455968983,0.6724137931034483,0.05387931034482758,7
0.9761400202498527,0.7979392428844865,0.8450203159413686,0.6229508196721312,0.07377049180327869,8
0.9500734886750437,0.7814514515934357,0.8395032051282052,0.5833333333333334,0.08125,9
