auc_macro,mcc_macro,f1_macro,subset_acc,hamming,fold
0.9597999494224496,0.7389224250940896,0.7948217421148083,0.46551724137931033,0.09698275862068965,0
0.9490948794976928,0.7670028097675374,0.8308240398828906,0.46551724137931033,0.09698275862068965,1
0.9421306078579446,0.5982719531458462,0.6662401334874495,0.41379310344827586,0.16379310344827586,2
0.9364893860057619,0.6146753746692541,0.6890371735851886,0.3333333333333333,0.15416666666666667,3
0.9449958283960448,0.7714229131442045,0.8461309523809524,0.5535714285714286,0.08482142857142858,4
0.9609649337419977,0.8136247608077589,0.8613758368068714,0.5689655172413793,0.0668103448275862,5
0.9572107720407981,0.7213938578497563,0.7663126936573108,0.4915254237288136,0.1016949152542373,6
0.9741768555676277,0.8259111384590863,0.8615198854825109,0.6551724137931034,0.0603448275862069,7
0.9582373808866105,0.7404273785049895,0.789213083098532,0.5081967213114754,0.09631147540983606,8
0.939318480964656,0.676595235706118,0.7323402255639098,0.5,0.125,9
